published_date,published_platform,rating,helpful_votes,title,text,Hour,Day,Month,Year,Timezone,language,char_count,translated_text,contains_emoji,title_contains_emoji,no_emoji_text,clean_text
2023-12-28 13:02:14+00:00,Mobile,5,0,Best classes and good environment ,Good thanks for everything good work group 👍 harverd good college for everything development science etc thanks for support ,3,28,12,2023,UTC,en,124,Good thanks for everything good work group 👍 harverd good college for everything development science etc thanks for support ,True,False,Good thanks for everything good work group thumbs_up harverd good college for everything development science etc thanks for support ,Good thanks everything good work group thumbs_up harverd good college everything development science etc thanks support
2023-12-12 05:38:26+00:00,Desktop,4,0,Harvard University,"Harvard University was founded in 1636 and is  a private Ivy League research university in Cambridge, Massachusetts. You can easily walk in the campus and admire the magnificent buildings, including library. We visited it in the summer, during the holiday break, and it  was very quiet, really great to have a walk there. ",1,12,12,2023,UTC,en,322,"Harvard University was founded in 1636 and is  a private Ivy League research university in Cambridge, Massachusetts. You can easily walk in the campus and admire the magnificent buildings, including library. We visited it in the summer, during the holiday break, and it  was very quiet, really great to have a walk there. ",False,False,"Harvard University was founded in 1636 and is  a private Ivy League research university in Cambridge, Massachusetts. You can easily walk in the campus and admire the magnificent buildings, including library. We visited it in the summer, during the holiday break, and it  was very quiet, really great to have a walk there. ","Harvard University founded 1636 private Ivy League research university Cambridge, Massachusetts. You easily walk campus admire magnificent buildings, including library. We visited summer, holiday break, quiet, really great walk."
2023-12-10 13:21:35+00:00,Mobile,3,0,Walk around campus,"We did a walk around most of the Harvard Campus, it is beautiful and old, but we expected it to be a bit more like Cambridge university in England. The buildings are beautiful, old and reminiscent of English architecture, but not a-lot was happening, good experience but you could do this in an hour. ",6,10,12,2023,UTC,en,301,"We did a walk around most of the Harvard Campus, it is beautiful and old, but we expected it to be a bit more like Cambridge university in England. The buildings are beautiful, old and reminiscent of English architecture, but not a-lot was happening, good experience but you could do this in an hour. ",False,False,"We did a walk around most of the Harvard Campus, it is beautiful and old, but we expected it to be a bit more like Cambridge university in England. The buildings are beautiful, old and reminiscent of English architecture, but not a-lot was happening, good experience but you could do this in an hour. ","We walk around Harvard Campus, beautiful old, expected bit like Cambridge university England. The buildings beautiful, old reminiscent English architecture, a-lot happening, good experience could hour."
2023-11-08 02:20:21+00:00,Desktop,4,0,Interesting Harvard University,"We had a walk through the university grounds with our tour guide - we were on a tour from a cruise ship docked in Boston. Apparently non-university guides are not welcome on this campus, and we were told that if we were accosted by any security personnel we would have to leave straight away. This did not happen, so we got a lot of historical information from our guide and a wander between the various interesting buildings on campus. Worth some time if you can manage it.",2,8,11,2023,UTC,en,474,"We had a walk through the university grounds with our tour guide - we were on a tour from a cruise ship docked in Boston. Apparently non-university guides are not welcome on this campus, and we were told that if we were accosted by any security personnel we would have to leave straight away. This did not happen, so we got a lot of historical information from our guide and a wander between the various interesting buildings on campus. Worth some time if you can manage it.",False,False,"We had a walk through the university grounds with our tour guide - we were on a tour from a cruise ship docked in Boston. Apparently non-university guides are not welcome on this campus, and we were told that if we were accosted by any security personnel we would have to leave straight away. This did not happen, so we got a lot of historical information from our guide and a wander between the various interesting buildings on campus. Worth some time if you can manage it.","We walk university grounds tour guide- tour cruise ship docked Boston. Apparently non-university guides welcome campus, told accosted security personnel would leave straight away. This happen, got lot historical information guide wander various interesting buildings campus. Worth time manage."
2023-10-02 21:40:42+00:00,Desktop,5,0,Lovely university campus has many historic and architecture gems to see!,"Finally made it to Harvard!!  This iconic university campus is worth a visit, but do your homework. Just strolling through won't do as the campus proper is so big, encompassing blocks and blocks. We were there for the history and the architecture. As visitors, we were not allowed to enter Memorial Hall so we missed seeing an awesome historic building. Strolling through Harvard Yard, we enjoyed the crowds taking photos with the John Harvard statue (by the esteemed sculptor Daniel Chester French). We checked out Sever Hall by Henry Hobson Richardson, a mainstay in Boston! Also the 1813 University Hall by Charles Bulfinch. Again, as a visitor, we couldn't go inside Widener Library to explore Mr Widener's personal library. We moved on to the Carpenter Center for the Visual Arts, the only Le Corbusier building in this country. We visited the Harvard Art Museums, spending a couple hours enjoying their art collections. The campus is home to two buildings by Minoru Yamasaki (based in our home city of Detroit) so we checked his work here. Then got in the car to see two buildings by Moshe Safdie: Rosovsky Hall and the Class of 59 Chapel; both are buildings designed for contemplation and spiritualness. Totally enjoyed our four hours exploring the Harvard campus!!",0,2,10,2023,UTC,en,1272,"Finally made it to Harvard!!  This iconic university campus is worth a visit, but do your homework. Just strolling through won't do as the campus proper is so big, encompassing blocks and blocks. We were there for the history and the architecture. As visitors, we were not allowed to enter Memorial Hall so we missed seeing an awesome historic building. Strolling through Harvard Yard, we enjoyed the crowds taking photos with the John Harvard statue (by the esteemed sculptor Daniel Chester French). We checked out Sever Hall by Henry Hobson Richardson, a mainstay in Boston! Also the 1813 University Hall by Charles Bulfinch. Again, as a visitor, we couldn't go inside Widener Library to explore Mr Widener's personal library. We moved on to the Carpenter Center for the Visual Arts, the only Le Corbusier building in this country. We visited the Harvard Art Museums, spending a couple hours enjoying their art collections. The campus is home to two buildings by Minoru Yamasaki (based in our home city of Detroit) so we checked his work here. Then got in the car to see two buildings by Moshe Safdie: Rosovsky Hall and the Class of 59 Chapel; both are buildings designed for contemplation and spiritualness. Totally enjoyed our four hours exploring the Harvard campus!!",False,False,"Finally made it to Harvard!!  This iconic university campus is worth a visit, but do your homework. Just strolling through won't do as the campus proper is so big, encompassing blocks and blocks. We were there for the history and the architecture. As visitors, we were not allowed to enter Memorial Hall so we missed seeing an awesome historic building. Strolling through Harvard Yard, we enjoyed the crowds taking photos with the John Harvard statue (by the esteemed sculptor Daniel Chester French). We checked out Sever Hall by Henry Hobson Richardson, a mainstay in Boston! Also the 1813 University Hall by Charles Bulfinch. Again, as a visitor, we couldn't go inside Widener Library to explore Mr Widener's personal library. We moved on to the Carpenter Center for the Visual Arts, the only Le Corbusier building in this country. We visited the Harvard Art Museums, spending a couple hours enjoying their art collections. The campus is home to two buildings by Minoru Yamasaki (based in our home city of Detroit) so we checked his work here. Then got in the car to see two buildings by Moshe Safdie: Rosovsky Hall and the Class of 59 Chapel; both are buildings designed for contemplation and spiritualness. Totally enjoyed our four hours exploring the Harvard campus!!","Finally made Harvard!! This iconic university campus worth visit, homework. Just strolling wo n't campus proper big, encompassing blocks blocks. We history architecture. As visitors, allowed enter Memorial Hall missed seeing awesome historic building. Strolling Harvard Yard, enjoyed crowds taking photos John Harvard statue( esteemed sculptor Daniel Chester French). We checked Sever Hall Henry Hobson Richardson, mainstay Boston! Also 1813 University Hall Charles Bulfinch. Again, visitor, could n't go inside Widener Library explore Mr Widener's personal library. We moved Carpenter Center Visual Arts, Le Corbusier building country. We visited Harvard Art Museums, spending couple hours enjoying art collections. The campus home two buildings Minoru Yamasaki( based home city Detroit) checked work. Then got car see two buildings Moshe Safdie: Rosovsky Hall Class 59 Chapel; buildings designed contemplation spiritualness. Totally enjoyed four hours exploring Harvard campus!!"
2023-09-29 12:44:17+00:00,Desktop,4,0,Interesting walk around campus grounds & river,Very interesting to wander around the grounds of the campus & to see the students going about their day. We touched the foot of the John Harvard statue which is supposed to bring good luck! We then had a walk along the riverside path which was lovely.,4,29,9,2023,UTC,en,251,Very interesting to wander around the grounds of the campus & to see the students going about their day. We touched the foot of the John Harvard statue which is supposed to bring good luck! We then had a walk along the riverside path which was lovely.,False,False,Very interesting to wander around the grounds of the campus & to see the students going about their day. We touched the foot of the John Harvard statue which is supposed to bring good luck! We then had a walk along the riverside path which was lovely.,Very interesting wander around grounds campus& see students going day. We touched foot John Harvard statue supposed bring good luck! We walk along riverside path lovely.
2023-09-26 08:56:29+00:00,Desktop,5,0,Inspirational place,"Being there, after all this years watching at movies, and dreaming to walk at the campus, was unbelievable. Amazing and inspirational place. Very clean and safe.",1,26,9,2023,UTC,en,161,"Being there, after all this years watching at movies, and dreaming to walk at the campus, was unbelievable. Amazing and inspirational place. Very clean and safe.",False,False,"Being there, after all this years watching at movies, and dreaming to walk at the campus, was unbelievable. Amazing and inspirational place. Very clean and safe.","Being, years watching movies, dreaming walk campus, unbelievable. Amazing inspirational place. Very clean safe."
2023-08-02 20:10:20+00:00,Desktop,5,0,Harvard University student guided tour,We took the Harvard student guided tours and lucky us...we had Oliver as our guide! What a gem of a dude! He's a senior at Harvard and comically shared the highs and lows of student life. We were captivated! My young teen even remarked that history was engrossing with Oliver otherwise she'd be bored by history. GO Oliver!,2,2,8,2023,UTC,en,323,We took the Harvard student guided tours and lucky us...we had Oliver as our guide! What a gem of a dude! He's a senior at Harvard and comically shared the highs and lows of student life. We were captivated! My young teen even remarked that history was engrossing with Oliver otherwise she'd be bored by history. GO Oliver!,False,False,We took the Harvard student guided tours and lucky us...we had Oliver as our guide! What a gem of a dude! He's a senior at Harvard and comically shared the highs and lows of student life. We were captivated! My young teen even remarked that history was engrossing with Oliver otherwise she'd be bored by history. GO Oliver!,We took Harvard student guided tours lucky us... Oliver guide! What gem dude! He's senior Harvard comically shared highs lows student life. We captivated! My young teen even remarked history engrossing Oliver otherwise'd bored history. GO Oliver!
2023-07-02 15:55:51+00:00,Desktop,4,2,Beautiful historic campus,"The beauty, charm, and architecture of so many historic buildings.  We also chose to do a student led tour which we highly recommend.  It is definitely worth just wandering around, at the very least just to get a feel.  The campus itself isn’t very large and doesn’t have many dining or resting spots within (there are plenty surrounding the campus).  It is also worth it to go to the library and just wander around.",6,2,7,2023,UTC,en,416,"The beauty, charm, and architecture of so many historic buildings.  We also chose to do a student led tour which we highly recommend.  It is definitely worth just wandering around, at the very least just to get a feel.  The campus itself isn’t very large and doesn’t have many dining or resting spots within (there are plenty surrounding the campus).  It is also worth it to go to the library and just wander around.",False,False,"The beauty, charm, and architecture of so many historic buildings.  We also chose to do a student led tour which we highly recommend.  It is definitely worth just wandering around, at the very least just to get a feel.  The campus itself isn’t very large and doesn’t have many dining or resting spots within (there are plenty surrounding the campus).  It is also worth it to go to the library and just wander around.","The beauty, charm, architecture many historic buildings. We also chose student led tour highly recommend. It definitely worth wandering around, least get feel. The campus’ large’ many dining resting spots within( plenty surrounding campus). It also worth go library wander around."
2023-06-24 09:21:02+00:00,Desktop,4,0,Nice campus,The buildings of the campus have nice architecture. It is a good place to walk around. The library is worth to visit.,5,24,6,2023,UTC,en,117,The buildings of the campus have nice architecture. It is a good place to walk around. The library is worth to visit.,False,False,The buildings of the campus have nice architecture. It is a good place to walk around. The library is worth to visit.,The buildings campus nice architecture. It good place walk around. The library worth visit.
2023-05-24 15:38:11+00:00,Mobile,4,0,Harvard University,They have great accessibility features such as wheelchairs. It is good for groups and they accept credit cards. It is a private Ivy League and one of the best known in the world.,2,24,5,2023,UTC,en,178,They have great accessibility features such as wheelchairs. It is good for groups and they accept credit cards. It is a private Ivy League and one of the best known in the world.,False,False,They have great accessibility features such as wheelchairs. It is good for groups and they accept credit cards. It is a private Ivy League and one of the best known in the world.,They great accessibility features wheelchairs. It good groups accept credit cards. It private Ivy League one best known world.
2023-04-26 13:58:59+00:00,Desktop,5,1,Beautiful university!,"We wandered around Harvard without a tour guide and to be honest, it was still a super enjoyable experience! The university is absolutely stunning and it was really cool to visit such an iconic place.
I especially enjoyed visiting during the fall because the falling leaves just gave the building a more whimsical look.
Definitely a must visit if you're in the area!",2,26,4,2023,UTC,en,366,"We wandered around Harvard without a tour guide and to be honest, it was still a super enjoyable experience! The university is absolutely stunning and it was really cool to visit such an iconic place.
I especially enjoyed visiting during the fall because the falling leaves just gave the building a more whimsical look.
Definitely a must visit if you're in the area!",False,False,"We wandered around Harvard without a tour guide and to be honest, it was still a super enjoyable experience! The university is absolutely stunning and it was really cool to visit such an iconic place.
I especially enjoyed visiting during the fall because the falling leaves just gave the building a more whimsical look.
Definitely a must visit if you're in the area!","We wandered around Harvard without tour guide honest, still super enjoyable experience! The university absolutely stunning really cool visit iconic place. I especially enjoyed visiting fall falling leaves gave building whimsical look. Definitely must visit're area!"
